ID,Ref No , Methods,Scale,Crop,Country,Site(location),Region,latitude,longitude,Current Average Temperature (dC)_area_weighted,Current Average Temperature_point_coordinate (dC),Current Annual Precipitation (mm) _area_weighted ,Current Annual Precipitation  (mm) _point_coordinate,Future_Mid-point,Baseline_Mid-point,Time slice,Climate scenario,Scenario source,Local delta T ,Local delta T from 2005,Annual Precipitation change each study  (mm) , Annual Precipitation change  from 2005 (mm),Global delta T from pre-industrial period ,Global delta T from 2005,Projected yield (t/ha),Climate impacts (%),Climate impacts relative to 2005,Climate impacts per dC (%),Climate impacts per decade (%),CO2,CO2 ppm,Fertiliser,Irrigation,Cultivar,Soil organic matter management,Planting time,Tillage,Others,Adaptation,Adaptation type,Reference,doi,Publication year,"Note1 
(* = corrected by HW) ","Note2 
(* = Local temperature is  estimated )","Note3 
(* = Local delta Pr is  estimated )","Note4 
(* = Global temperature is  estimated )",Seasonal Precipitation change (mm) each study (local baseperiod),Base precipitation (annual) (mm) (local base period),Annual Preciptation change (%) (relative to local base),Base precipitation (seasonal) (mm) (local base period)
480,34,SCOPUS-NewSearch,Global,Maize,Canada,NA,North America,56.1 ,-106.3 ,7.2 ,-0.1 ,1040 ,555 ,2030,2005,NF,RCP8.5,CMIP5,1.40 ,1.40 ,59.2 ,59.2 ,1.73 ,0.94 ,8.6888,9.74 ,9.74 ,6.98 ,3.90 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
481,34,SCOPUS-NewSearch,Global,Maize,China,NA,Asia,35.9 ,104.2 ,11.8 ,7.1 ,710 ,390 ,2030,2005,NF,RCP2.6,CMIP5,1.00 ,1.00 ,34.3 ,34.3 ,1.59 ,0.80 ,7.1492,-11.32 ,-11.32 ,-11.33 ,-4.53 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
482,34,SCOPUS-NewSearch,Global,Maize,China,NA,Asia,35.9 ,104.2 ,11.8 ,7.1 ,710 ,390 ,2030,2005,NF,RCP4.5,CMIP5,0.99 ,0.99 ,46.4 ,46.4 ,1.57 ,0.78 ,7.2014,-12.11 ,-12.11 ,-12.26 ,-4.85 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
483,34,SCOPUS-NewSearch,Global,Maize,China,NA,Asia,35.9 ,104.2 ,11.8 ,7.1 ,710 ,390 ,2030,2005,NF,RCP8.5,CMIP5,1.12 ,1.12 ,19.0 ,19.0 ,1.73 ,0.94 ,7.0032,-13.35 ,-13.35 ,-11.88 ,-5.34 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
484,34,SCOPUS-NewSearch,Global,Maize,Croatia,NA,Europe,45.1 ,15.2 ,11.8 ,9.8 ,952 ,1455 ,2030,2005,NF,RCP2.6,CMIP5,1.05 ,1.05 ,-73.8 ,-73.8 ,1.59 ,0.80 ,6.4463,-5.27 ,-5.27 ,-5.04 ,-2.11 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
485,34,SCOPUS-NewSearch,Global,Maize,Croatia,NA,Europe,45.1 ,15.2 ,11.8 ,9.8 ,952 ,1455 ,2030,2005,NF,RCP4.5,CMIP5,1.00 ,1.00 ,-94.6 ,-94.6 ,1.57 ,0.78 ,6.4281,-4.74 ,-4.74 ,-4.73 ,-1.90 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
486,34,SCOPUS-NewSearch,Global,Maize,Croatia,NA,Europe,45.1 ,15.2 ,11.8 ,9.8 ,952 ,1455 ,2030,2005,NF,RCP8.5,CMIP5,1.20 ,1.20 ,-74.9 ,-74.9 ,1.73 ,0.94 ,6.6437,-1.51 ,-1.51 ,-1.26 ,-0.60 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
487,34,SCOPUS-NewSearch,Global,Maize,Egypt,NA,Africa,26.8 ,30.8 ,22.3 ,23.1 ,27 ,2 ,2030,2005,NF,RCP2.6,CMIP5,0.77 ,0.77 ,-1.1 ,-1.1 ,1.59 ,0.80 ,0.6203,-100.00 ,-100.00 ,-130.55 ,-40.00 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
488,34,SCOPUS-NewSearch,Global,Maize,Egypt,NA,Africa,26.8 ,30.8 ,22.3 ,23.1 ,27 ,2 ,2030,2005,NF,RCP4.5,CMIP5,0.63 ,0.63 ,0.0 ,0.0 ,1.57 ,0.78 ,0.5737,-100.00 ,-100.00 ,-158.23 ,-40.00 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
489,34,SCOPUS-NewSearch,Global,Maize,Egypt,NA,Africa,26.8 ,30.8 ,22.3 ,23.1 ,27 ,2 ,2030,2005,NF,RCP8.5,CMIP5,1.00 ,1.00 ,-3.3 ,-3.3 ,1.73 ,0.94 ,0.5329,-100.00 ,-100.00 ,-100.00 ,-40.00 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
490,34,SCOPUS-NewSearch,Global,Maize,Ethiopia,NA,Africa,9.1 ,40.5 ,21.0 ,27.7 ,1028 ,644 ,2030,2005,NF,RCP2.6,CMIP5,0.67 ,0.67 ,29.9 ,29.9 ,1.59 ,0.80 ,5.2613,-22.70 ,-22.70 ,-33.98 ,-9.08 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
491,34,SCOPUS-NewSearch,Global,Maize,Ethiopia,NA,Africa,9.1 ,40.5 ,21.0 ,27.7 ,1028 ,644 ,2030,2005,NF,RCP4.5,CMIP5,0.78 ,0.78 ,-34.3 ,-34.3 ,1.57 ,0.78 ,4.7027,-24.22 ,-24.22 ,-31.02 ,-9.69 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
492,34,SCOPUS-NewSearch,Global,Maize,Ethiopia,NA,Africa,9.1 ,40.5 ,21.0 ,27.7 ,1028 ,644 ,2030,2005,NF,RCP8.5,CMIP5,0.91 ,0.91 ,36.2 ,36.2 ,1.73 ,0.94 ,4.0268,-25.70 ,-25.70 ,-28.27 ,-10.28 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
493,34,SCOPUS-NewSearch,Global,Maize,France,NA,Europe,46.2 ,2.2 ,12.3 ,11.1 ,891 ,986 ,2030,2005,NF,RCP2.6,CMIP5,0.86 ,0.86 ,-31.4 ,-31.4 ,1.59 ,0.80 ,8.7662,-5.36 ,-5.36 ,-6.26 ,-2.15 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
494,34,SCOPUS-NewSearch,Global,Maize,France,NA,Europe,46.2 ,2.2 ,12.3 ,11.1 ,891 ,986 ,2030,2005,NF,RCP4.5,CMIP5,0.94 ,0.94 ,-44.6 ,-44.6 ,1.57 ,0.78 ,8.7737,-5.01 ,-5.01 ,-5.31 ,-2.00 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
495,34,SCOPUS-NewSearch,Global,Maize,France,NA,Europe,46.2 ,2.2 ,12.3 ,11.1 ,891 ,986 ,2030,2005,NF,RCP8.5,CMIP5,1.04 ,1.04 ,-10.6 ,-10.6 ,1.73 ,0.94 ,8.5266,-4.14 ,-4.14 ,-3.97 ,-1.66 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
496,34,SCOPUS-NewSearch,Global,Maize,Germany,NA,Europe,51.2 ,10.5 ,9.6 ,8.7 ,847 ,839 ,2030,2005,NF,RCP2.6,CMIP5,1.00 ,1.00 ,-13.9 ,-13.9 ,1.59 ,0.80 ,6.7839,34.81 ,34.81 ,34.92 ,13.92 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
497,34,SCOPUS-NewSearch,Global,Maize,Germany,NA,Europe,51.2 ,10.5 ,9.6 ,8.7 ,847 ,839 ,2030,2005,NF,RCP4.5,CMIP5,1.03 ,1.03 ,-4.0 ,-4.0 ,1.57 ,0.78 ,6.8962,37.70 ,37.70 ,36.75 ,15.08 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
498,34,SCOPUS-NewSearch,Global,Maize,Germany,NA,Europe,51.2 ,10.5 ,9.6 ,8.7 ,847 ,839 ,2030,2005,NF,RCP8.5,CMIP5,1.07 ,1.07 ,28.9 ,28.9 ,1.73 ,0.94 ,6.9311,39.57 ,39.57 ,36.84 ,15.83 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
499,34,SCOPUS-NewSearch,Global,Maize,Greece,NA,Europe,39.1 ,21.8 ,14.3 ,13.6 ,726 ,736 ,2030,2005,NF,RCP2.6,CMIP5,0.82 ,0.82 ,-38.3 ,-38.3 ,1.59 ,0.80 ,7.135,-38.66 ,-38.66 ,-47.09 ,-15.47 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
500,34,SCOPUS-NewSearch,Global,Maize,Greece,NA,Europe,39.1 ,21.8 ,14.3 ,13.6 ,726 ,736 ,2030,2005,NF,RCP4.5,CMIP5,0.71 ,0.71 ,-41.6 ,-41.6 ,1.57 ,0.78 ,7.2243,-37.06 ,-37.06 ,-51.98 ,-14.82 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
501,34,SCOPUS-NewSearch,Global,Maize,Greece,NA,Europe,39.1 ,21.8 ,14.3 ,13.6 ,726 ,736 ,2030,2005,NF,RCP8.5,CMIP5,1.04 ,1.04 ,-34.3 ,-34.3 ,1.73 ,0.94 ,6.7257,-38.25 ,-38.25 ,-36.71 ,-15.30 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
502,34,SCOPUS-NewSearch,Global,Maize,Hungary,NA,Europe,47.2 ,19.5 ,11.3 ,11.1 ,663 ,611 ,2030,2005,NF,RCP2.6,CMIP5,1.20 ,1.20 ,-41.6 ,-41.6 ,1.59 ,0.80 ,6.2563,0.28 ,0.28 ,0.24 ,0.11 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
503,34,SCOPUS-NewSearch,Global,Maize,Hungary,NA,Europe,47.2 ,19.5 ,11.3 ,11.1 ,663 ,611 ,2030,2005,NF,RCP4.5,CMIP5,1.14 ,1.14 ,-51.1 ,-51.1 ,1.57 ,0.78 ,6.3673,2.22 ,2.22 ,1.95 ,0.89 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
504,34,SCOPUS-NewSearch,Global,Maize,Hungary,NA,Europe,47.2 ,19.5 ,11.3 ,11.1 ,663 ,611 ,2030,2005,NF,RCP8.5,CMIP5,1.31 ,1.31 ,-19.7 ,-19.7 ,1.73 ,0.94 ,6.3271,2.39 ,2.39 ,1.83 ,0.96 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
505,34,SCOPUS-NewSearch,Global,Maize,India,NA,Asia,20.6 ,79.0 ,25.5 ,28.4 ,1045 ,1097 ,2030,2005,NF,RCP2.6,CMIP5,0.64 ,0.64 ,68.3 ,68.3 ,1.59 ,0.80 ,1.0648,-53.43 ,-53.43 ,-84.01 ,-21.37 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
506,34,SCOPUS-NewSearch,Global,Maize,India,NA,Asia,20.6 ,79.0 ,25.5 ,28.4 ,1045 ,1097 ,2030,2005,NF,RCP4.5,CMIP5,0.77 ,0.77 ,-7.7 ,-7.7 ,1.57 ,0.78 ,0.9917,-54.44 ,-54.44 ,-70.88 ,-21.77 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
507,34,SCOPUS-NewSearch,Global,Maize,India,NA,Asia,20.6 ,79.0 ,25.5 ,28.4 ,1045 ,1097 ,2030,2005,NF,RCP8.5,CMIP5,0.87 ,0.87 ,35.8 ,35.8 ,1.73 ,0.94 ,0.9121,-56.61 ,-56.61 ,-65.06 ,-22.64 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
508,34,SCOPUS-NewSearch,Global,Maize,Indonesia,NA,Asia,-0.8 ,113.9 ,27.1 ,26.2 ,2475 ,3892 ,2030,2005,NF,RCP2.6,CMIP5,0.50 ,0.50 ,-83.6 ,-83.6 ,1.59 ,0.80 ,2.3478,-65.87 ,-65.87 ,-132.80 ,-26.35 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
509,34,SCOPUS-NewSearch,Global,Maize,Indonesia,NA,Asia,-0.8 ,113.9 ,27.1 ,26.2 ,2475 ,3892 ,2030,2005,NF,RCP4.5,CMIP5,0.60 ,0.60 ,29.6 ,29.6 ,1.57 ,0.78 ,2.2532,-65.37 ,-65.37 ,-109.68 ,-26.15 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
510,34,SCOPUS-NewSearch,Global,Maize,Indonesia,NA,Asia,-0.8 ,113.9 ,27.1 ,26.2 ,2475 ,3892 ,2030,2005,NF,RCP8.5,CMIP5,0.80 ,0.80 ,44.9 ,44.9 ,1.73 ,0.94 ,2.0401,-69.04 ,-69.04 ,-86.85 ,-27.62 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
511,34,SCOPUS-NewSearch,Global,Maize,Iran,NA,Asia,32.4 ,53.7 ,15.9 ,17.2 ,312 ,88 ,2030,2005,NF,RCP2.6,CMIP5,0.87 ,0.87 ,18.3 ,18.3 ,1.59 ,0.80 ,1.4446,-16.01 ,-16.01 ,-18.43 ,-6.40 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
512,34,SCOPUS-NewSearch,Global,Maize,Iran,NA,Asia,32.4 ,53.7 ,15.9 ,17.2 ,312 ,88 ,2030,2005,NF,RCP4.5,CMIP5,0.79 ,0.79 ,8.8 ,8.8 ,1.57 ,0.78 ,1.3764,-17.58 ,-17.58 ,-22.19 ,-7.03 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
513,34,SCOPUS-NewSearch,Global,Maize,Iran,NA,Asia,32.4 ,53.7 ,15.9 ,17.2 ,312 ,88 ,2030,2005,NF,RCP8.5,CMIP5,1.20 ,1.20 ,-16.1 ,-16.1 ,1.73 ,0.94 ,1.2349,-21.82 ,-21.82 ,-18.24 ,-8.73 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
514,34,SCOPUS-NewSearch,Global,Maize,Italy,NA,Europe,41.9 ,12.6 ,12.6 ,16.0 ,936 ,982 ,2030,2005,NF,RCP2.6,CMIP5,0.97 ,0.97 ,-83.3 ,-83.3 ,1.59 ,0.80 ,9.2131,-9.28 ,-9.28 ,-9.53 ,-3.71 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
515,34,SCOPUS-NewSearch,Global,Maize,Italy,NA,Europe,41.9 ,12.6 ,12.6 ,16.0 ,936 ,982 ,2030,2005,NF,RCP4.5,CMIP5,0.99 ,0.99 ,-95.7 ,-95.7 ,1.57 ,0.78 ,9.2605,-8.93 ,-8.93 ,-9.03 ,-3.57 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
516,34,SCOPUS-NewSearch,Global,Maize,Italy,NA,Europe,41.9 ,12.6 ,12.6 ,16.0 ,936 ,982 ,2030,2005,NF,RCP8.5,CMIP5,1.10 ,1.10 ,-48.9 ,-48.9 ,1.73 ,0.94 ,8.8918,-8.76 ,-8.76 ,-7.95 ,-3.51 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
517,34,SCOPUS-NewSearch,Global,Maize,Kenya,NA,Africa,0.0 ,37.9 ,24.9 ,22.3 ,767 ,1299 ,2030,2005,NF,RCP2.6,CMIP5,0.63 ,0.63 ,45.3 ,45.3 ,1.59 ,0.80 ,4.6844,-35.99 ,-35.99 ,-57.04 ,-14.40 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
518,34,SCOPUS-NewSearch,Global,Maize,Kenya,NA,Africa,0.0 ,37.9 ,24.9 ,22.3 ,767 ,1299 ,2030,2005,NF,RCP4.5,CMIP5,0.68 ,0.68 ,6.6 ,6.6 ,1.57 ,0.78 ,4.2614,-40.06 ,-40.06 ,-58.99 ,-16.02 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
519,34,SCOPUS-NewSearch,Global,Maize,Kenya,NA,Africa,0.0 ,37.9 ,24.9 ,22.3 ,767 ,1299 ,2030,2005,NF,RCP8.5,CMIP5,0.82 ,0.82 ,47.8 ,47.8 ,1.73 ,0.94 ,4.0433,-38.58 ,-38.58 ,-47.22 ,-15.43 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
520,34,SCOPUS-NewSearch,Global,Maize,Korea_Dem_People's_Rep,NA,Asia,40.3 ,127.5 ,8.1 ,4.5 ,1065 ,819 ,2030,2005,NF,RCP2.6,CMIP5,1.09 ,1.09 ,77.4 ,77.4 ,1.59 ,0.80 ,5.0509,1.19 ,1.19 ,1.09 ,0.48 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
521,34,SCOPUS-NewSearch,Global,Maize,Korea_Dem_People's_Rep,NA,Asia,40.3 ,127.5 ,8.1 ,4.5 ,1065 ,819 ,2030,2005,NF,RCP4.5,CMIP5,1.14 ,1.14 ,79.6 ,79.6 ,1.57 ,0.78 ,5.0182,0.72 ,0.72 ,0.63 ,0.29 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
522,34,SCOPUS-NewSearch,Global,Maize,Korea_Dem_People's_Rep,NA,Asia,40.3 ,127.5 ,8.1 ,4.5 ,1065 ,819 ,2030,2005,NF,RCP8.5,CMIP5,1.23 ,1.23 ,27.0 ,27.0 ,1.73 ,0.94 ,5.0366,2.78 ,2.78 ,2.27 ,1.11 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
523,34,SCOPUS-NewSearch,Global,Maize,Malawi,NA,Africa,-13.3 ,34.3 ,22.8 ,24.8 ,1061 ,1082 ,2030,2005,NF,RCP2.6,CMIP5,0.52 ,0.52 ,-36.9 ,-36.9 ,1.59 ,0.80 ,3.0383,-26.54 ,-26.54 ,-51.43 ,-10.62 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
524,34,SCOPUS-NewSearch,Global,Maize,Malawi,NA,Africa,-13.3 ,34.3 ,22.8 ,24.8 ,1061 ,1082 ,2030,2005,NF,RCP4.5,CMIP5,0.72 ,0.72 ,-38.7 ,-38.7 ,1.57 ,0.78 ,2.6997,-27.98 ,-27.98 ,-39.07 ,-11.19 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
525,34,SCOPUS-NewSearch,Global,Maize,Malawi,NA,Africa,-13.3 ,34.3 ,22.8 ,24.8 ,1061 ,1082 ,2030,2005,NF,RCP8.5,CMIP5,0.79 ,0.79 ,-6.6 ,-6.6 ,1.73 ,0.94 ,2.3759,-31.11 ,-31.11 ,-39.47 ,-12.44 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
526,34,SCOPUS-NewSearch,Global,Maize,Mexico,NA,Central and South America,23.6 ,-102.6 ,21.7 ,17.8 ,1139 ,398 ,2030,2005,NF,RCP2.6,CMIP5,0.71 ,0.71 ,6.6 ,6.6 ,1.59 ,0.80 ,6.5244,-54.22 ,-54.22 ,-76.47 ,-21.69 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
527,34,SCOPUS-NewSearch,Global,Maize,Mexico,NA,Central and South America,23.6 ,-102.6 ,21.7 ,17.8 ,1139 ,398 ,2030,2005,NF,RCP4.5,CMIP5,0.74 ,0.74 ,-42.0 ,-42.0 ,1.57 ,0.78 ,6.3598,-53.61 ,-53.61 ,-72.74 ,-21.44 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
528,34,SCOPUS-NewSearch,Global,Maize,Mexico,NA,Central and South America,23.6 ,-102.6 ,21.7 ,17.8 ,1139 ,398 ,2030,2005,NF,RCP8.5,CMIP5,0.85 ,0.85 ,13.1 ,13.1 ,1.73 ,0.94 ,6.1995,-57.29 ,-57.29 ,-67.17 ,-22.92 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
529,34,SCOPUS-NewSearch,Global,Maize,Nepal,NA,Asia,28.4 ,84.1 ,19.8 ,14.6 ,1818 ,2651 ,2030,2005,NF,RCP2.6,CMIP5,0.71 ,0.71 ,91.3 ,91.3 ,1.59 ,0.80 ,0.8907,-37.03 ,-37.03 ,-51.94 ,-14.81 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
530,34,SCOPUS-NewSearch,Global,Maize,Nepal,NA,Asia,28.4 ,84.1 ,19.8 ,14.6 ,1818 ,2651 ,2030,2005,NF,RCP4.5,CMIP5,0.79 ,0.79 ,-15.0 ,-15.0 ,1.57 ,0.78 ,0.8197,-35.94 ,-35.94 ,-45.67 ,-14.38 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
531,34,SCOPUS-NewSearch,Global,Maize,Nepal,NA,Asia,28.4 ,84.1 ,19.8 ,14.6 ,1818 ,2651 ,2030,2005,NF,RCP8.5,CMIP5,0.96 ,0.96 ,117.6 ,117.6 ,1.73 ,0.94 ,0.7441,-39.17 ,-39.17 ,-40.93 ,-15.67 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
532,34,SCOPUS-NewSearch,Global,Maize,Nigeria,NA,Africa,9.1 ,8.7 ,27.7 ,24.9 ,1287 ,1326 ,2030,2005,NF,RCP2.6,CMIP5,0.68 ,0.68 ,-24.8 ,-24.8 ,1.59 ,0.80 ,0.497,-45.74 ,-45.74 ,-66.88 ,-18.30 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
533,34,SCOPUS-NewSearch,Global,Maize,Nigeria,NA,Africa,9.1 ,8.7 ,27.7 ,24.9 ,1287 ,1326 ,2030,2005,NF,RCP4.5,CMIP5,0.61 ,0.61 ,56.2 ,56.2 ,1.57 ,0.78 ,0.5237,-40.19 ,-40.19 ,-65.99 ,-16.07 ,Yes,436.6 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
534,34,SCOPUS-NewSearch,Global,Maize,Nigeria,NA,Africa,9.1 ,8.7 ,27.7 ,24.9 ,1287 ,1326 ,2030,2005,NF,RCP8.5,CMIP5,0.84 ,0.84 ,50.8 ,50.8 ,1.73 ,0.94 ,0.4196,-47.83 ,-47.83 ,-57.07 ,-19.13 ,Yes,451.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
535,34,SCOPUS-NewSearch,Global,Maize,Pakistan,NA,Asia,30.4 ,69.3 ,21.8 ,19.7 ,605 ,285 ,2030,2005,NF,RCP2.6,CMIP5,0.88 ,0.88 ,19.4 ,19.4 ,1.59 ,0.80 ,0.836,-86.84 ,-86.84 ,-98.79 ,-34.74 ,Yes,429.9 ,Yes,No,Yes,No,Yes,No,No,Yes,Combined,"Iizumi et al., 2017",10.1038/s41598-017-08214-4,2017,,,,,,,,
